X,Y,CBSAFP,NAME,STATEFP,isApp
-78.872274854185889,35.367975389554942,20380,"Dunn, NC",37,0
-83.673330312358843,36.729575555350017,33180,"Middlesborough, KY",21,0
-75.980930145633394,35.788570720204383,28620,"Kill Devil Hills, NC",37,0
-85.397327715946275,40.227872465125934,34620,"Muncie, IN",18,0
-88.061118621497982,42.747312838072062,39540,"Racine, WI",55,0
-92.21016532645308,37.820520829114102,22780,"Fort Leonard Wood, MO",29,0
-84.92486388441651,35.605228665137957,19420,"Dayton, TN",47,0
-85.074133190203042,42.945022375616261,26960,"Ionia, MI",26,0
-88.775304280287784,43.020537422158803,48020,"Watertown-Fort Atkinson, WI",55,0
-94.852271306116847,37.506773129815564,38260,"Pittsburg, KS",20,0
-107.74898469528767,32.181899868402127,19700,"Deming, NM",35,0
-82.621933659349722,30.22343842473505,29380,"Lake City, FL",12,0
-108.2622231460748,35.580227502717136,23700,"Gallup, NM",35,0
-84.052768170780254,43.330253185976773,40980,"Saginaw, MI",26,0
-113.75959432782989,35.705742904604918,29420,"Lake Havasu City-Kingman, AZ",04,0
-90.662044763056443,29.4693576225926,26380,"Houma-Thibodaux, LA",22,0
-100.91626637100711,32.746138075619541,43660,"Snyder, TX",48,0
-86.765725919898713,35.464991112372665,30280,"Lewisburg, TN",47,0
-100.97161836719114,38.026111786848062,23780,"Garden City, KS",20,0
-88.923979417223549,38.299818220142434,34500,"Mount Vernon, IL",17,0
-110.84735980511002,31.525432256374252,35700,"Nogales, AZ",04,0
-99.26263403340748,36.425293994225612,49260,"Woodward, OK",40,0
-98.94676914735993,30.318240946242287,23240,"Fredericksburg, TX",48,0
-81.809565744156188,27.492939385437438,48100,"Wauchula, FL",12,0
-85.359145048788605,34.470153420019557,44900,"Summerville, GA",13,0
-88.598191688152696,47.164341310324978,26340,"Houghton, MI",26,0
-72.61585038521747,44.273617169959373,12740,"Barre, VT",50,0
-93.226270882687061,44.022403513102248,36940,"Owatonna, MN",27,0
-85.177975407310711,39.636849619483812,18220,"Connersville, IN",18,0
-84.846649234251331,43.640609758280561,34380,"Mount Pleasant, MI",26,0
-77.063904677156373,40.959867634741812,30260,"Lewisburg, PA",42,0
-78.409083400518909,36.365821544676471,25780,"Henderson, NC",37,0
-98.084853735024566,37.951080497652157,26740,"Hutchinson, KS",20,0
-85.988980941613903,31.399328619220221,21460,"Enterprise, AL",01,0
-84.629125870649275,40.540410505398683,16380,"Celina, OH",39,0
-84.066039819053884,41.894787555745559,10300,"Adrian, MI",26,0
-101.91040969523769,35.248820224681033,11100,"Amarillo, TX",48,0
-76.452281173043886,36.83691073967465,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",37,0
-82.406423208967027,28.154078115042537,45300,"Tampa-St. Petersburg-Clearwater, FL",12,0
-118.33269389262203,39.580345732824462,21980,"Fallon, NV",32,0
-82.383231380970031,38.378942570065171,26580,"Huntington-Ashland, WV-KY-OH",39,0
-74.087040411812382,40.920404275159065,35620,"New York-Newark-Jersey City, NY-NJ-PA",42,0
-75.472579006454822,38.414264693476468,41540,"Salisbury, MD-DE",10,0
-77.472393238932924,38.831891881029073,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",54,0
-85.001304358061773,41.643947236290735,11420,"Angola, IN",18,0
-99.349301444376891,30.060400063510674,28500,"Kerrville, TX",48,0
